"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-08-27T19:41:02.000Z","image","Gabri Veiga has just landed in Saudi 🛩️

He’s set to start his new chapter as Al Ahli player after €36m deal agreed 🇸🇦","","https://pbs.twimg.com/media/F4j9ozsXIAAn4nt?format=jpg&name=small","23K","1.8K","866"
"2023-08-27T19:10:40.000Z","image","AS Monaco are back pushing in talks to sign Tosin Adarabioyo. Negotiations are underway with Fulham ⚪️🔴 #Monaco

Monaco wait for Balogun medical in 1-2 days and then hope to complete deal for Adarabioyo.","","https://pbs.twimg.com/media/F4j2sNTWYAAtWsM?format=jpg&name=small","15K","1K","213"
"2023-08-27T18:57:55.000Z","image","Roberto Mancini has been appointed as new Saudi Arabia national team head coach, contract signed 🚨🇸🇦🇮🇹

Mancini resigned 10 days ago from Italy job as he’s joining Saudi NT.","","https://pbs.twimg.com/media/F4jzxYdXgAAe-cu?format=jpg&name=small","55K","5.2K","1.2K"
"2023-08-27T18:55:46.000Z","image","Sky Sports to Jurgen Klopp: “The Mo Salah to Al-Ittihad story hasn't quite gone away, has it?”. 🔴🇸🇦 #LFC

Klopp: “For me, it has!”. 🇪🇬","","https://pbs.twimg.com/media/F4jzR59XAAA5Bfe?format=jpg&name=small","61K","2.8K","853"
"2023-08-27T18:35:22.000Z","text","😂🛩️","","","277","7","11"
"2023-08-27T18:35:00.000Z","text","😉📸","","","41","3","2"
"2023-08-27T18:14:23.000Z","image","Official, confirmed. Kieran Tierney joins Real Sociedad on loan from Arsenal — no buy option clause included ⚪️🔵","","https://pbs.twimg.com/media/F4jpzw6WsAA7HN1?format=jpg&name=small","33K","2.2K","449"
"2023-08-27T18:03:15.000Z","image","Official: Mohammed Kudus joins West Ham on €45m package deal plus sell on clause for Ajax ⚒️✨🇬🇭 #WHUFC

Contract until June 2028 with option for further season.

📸 Here Kudus travelling with new West Ham director Tim Steidten who did huge job to make top signing happen.","","https://pbs.twimg.com/media/F4jnQk5W0AAQD_F?format=jpg&name=small","50K","4.1K","907"
"2023-08-27T17:59:37.000Z","text","👀⚒️🇬🇭Mohammed Kudus will be unveiled as West Ham player later today ✨🇬🇭 #WHUFC","","","9.9K","628","224"
"2023-08-27T17:56:42.000Z","image","Ryan Gravenberch on his future: “I don‘t know what will happen in the next days”, told  🔴🇳🇱 #FCBayern

Manchester United and Liverpool both asked to be informed on the situation until end of the window, in case Bayern will allow him to leave.","","https://pbs.twimg.com/media/F4jlwsRXoAAiPfD?format=jpg&name=small","33K","1.8K","306"
